PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/08/1999,34,30,26,27,25,24,89,77,59,1003,1001,998,10,8,7,19,10,,0,5,,63
02/08/1999,35,31,28,26,26,24,84,71,56,1000,999,998,10,9,8,13,3,,0,4,Rain,99
03/08/1999,35,31,28,27,26,25,94,78,59,1001,999,998,10,8,4,23,5,,0,4,,81
04/08/1999,34,30,27,28,27,25,94,77,63,1000,999,997,8,8,6,14,5,,0,3,Rain-Thunderstorm,165
05/08/1999,36,32,28,27,26,25,89,73,56,999,997,995,8,7,6,13,5,,0,3,,175
06/08/1999,32,29,27,28,27,25,89,84,79,997,995,994,8,7,7,13,10,,0,4,Thunderstorm,145
07/08/1999,34,31,29,28,27,25,89,78,63,997,996,994,8,8,6,23,10,,0,5,Thunderstorm,104
08/08/1999,35,31,27,28,27,24,89,80,63,998,996,995,10,8,7,29,6,,0,4,Rain-Thunderstorm,97
09/08/1999,33,30,27,28,27,25,94,80,70,1001,997,996,10,9,6,13,5,,0,5,Thunderstorm,115
10/08/1999,33,30,27,28,26,25,94,85,74,1002,1001,999,10,8,6,23,10,,0,5,,100
11/08/1999,33,30,27,28,27,25,94,84,71,1002,999,997,8,7,6,13,2,,0,3,Rain,103
12/08/1999,32,30,28,27,26,23,89,79,70,998,996,994,10,9,8,13,3,,0,2,Thunderstorm,125
13/08/1999,31,26,21,27,24,21,100,80,66,998,995,993,10,7,2,47,10,,0,4,Rain-Thunderstorm,341
14/08/1999,34,29,25,27,24,22,89,72,49,1000,999,998,10,8,5,14,3,,0,1,,235
15/08/1999,36,32,28,27,26,22,89,68,47,1003,1001,1000,8,7,5,13,3,,0,3,Thunderstorm,231
16/08/1999,36,32,29,27,26,25,84,68,53,1003,1002,1001,8,7,6,13,6,,0,2,,272
17/08/1999,36,32,29,27,25,22,84,64,44,1004,1002,1000,8,8,6,10,2,,0,2,,251
18/08/1999,37,33,29,28,24,22,79,63,44,1004,1002,1000,8,7,5,11,2,,0,2,,159
19/08/1999,37,33,29,27,25,21,84,65,41,1004,1003,1002,8,8,7,11,2,,0,2,Thunderstorm,100
20/08/1999,34,30,27,27,26,25,94,77,63,1005,1003,1001,8,6,4,14,8,,0,3,,96
21/08/1999,37,32,27,26,24,22,89,64,42,1001,1000,998,8,7,6,11,2,,0,1,,262
22/08/1999,36,32,28,25,23,21,79,57,41,1003,1001,999,10,8,3,13,3,,0,0,,252
23/08/1999,36,32,28,24,23,21,74,58,41,1004,1002,1001,8,7,5,19,5,,0,1,,242
24/08/1999,36,31,27,24,23,21,79,60,44,1003,1001,999,10,7,6,11,3,,0,0,,232
25/08/1999,36,32,28,25,24,23,79,63,47,1000,999,997,10,8,6,13,3,,0,1,,180
26/08/1999,35,30,26,27,25,23,89,73,56,1003,1000,998,10,8,6,13,2,,0,2,Rain-Thunderstorm,47
27/08/1999,33,29,25,25,23,20,84,70,55,1006,1004,1002,10,9,7,27,8,,0,2,Thunderstorm,27
28/08/1999,35,30,26,24,23,20,89,69,52,1005,1002,1000,8,7,2,27,2,,0,3,Rain,162
29/08/1999,36,30,24,24,22,21,89,69,44,1005,1003,1002,10,8,7,16,3,,0,2,Thunderstorm,200
30/08/1999,37,31,26,25,23,20,94,64,39,1005,1003,1001,10,9,8,14,3,,0,1,,251
31/08/1999,37,32,27,25,22,19,84,57,37,1004,1002,1000,10,8,6,14,3,,0,0,,260
